Song,Album,Album Release Date,Artist Names,Artist(s) Genres,Hot100 Ranking Year,Hot100 Rank,Song Length(ms),Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Valence,Key,Mode,Time Signature
I Need You,I Need You,2001-01-30,['LeAnn Rimes'],"country dawn, contemporary country, country road, country",2000,44,229826,62,0.02,0.478,0.736,9.58e-05,0.118,-7.124,0.0367,144.705,0.564,7,1,4
Sweet Lady,Tyrese,1998-08-31,['Tyrese'],"hip pop, contemporary r&b, urban contemporary, r&b",1999,43,290600,63,0.233,0.588,0.522,0.0,0.24,-6.254,0.0383,66.024,0.584,9,0,4
You Take My Breath Away - Mono Version,Sooner or Later,,['Rex Smith'],bubblegum pop,1979,86,197453,49,0.476,0.313,0.6,2.56e-05,0.523,-7.913,0.0357,141.912,0.272,11,1,4
If I Give My Heart to You (with The Mellomen),Golden Girl (The Columbia Recordings 1944-1966),,"['Doris Day', 'The Mellomen']","adult standards, easy listening, movie tunes, vocal jazz, lounge",1954,20,169066,43,0.973,0.503,0.059,0.0,0.103,-16.131,0.0497,76.642,0.331,9,1,4
Don't Forget About Us (As Made Famous By Mariah Carey),Drew's Famous # 1 Karaoke Hits: Sing the Hits of 2006,2011-08-16,['The Karaoke Crew'],karaoke,2006,50,251013,0,0.0149,0.843,0.348,0.00128,0.247,-10.669,0.0545,143.595,0.385,7,0,4
Always,Cross Road,1994-10-18,['Bon Jovi'],"glam metal, rock",1995,17,353026,77,0.117,0.383,0.659,0.0,0.0778,-5.558,0.0312,140.795,0.327,4,1,4
I Saw Red,Cherry Pie (Expanded Edition),1990-05-01,['Warrant'],"glam metal, album rock, hard rock",1991,96,226920,45,0.269,0.495,0.677,0.0,0.381,-6.139,0.0271,84.879,0.437,4,0,4
Hands Clean,Under Rug Swept,2002-02-25,['Alanis Morissette'],"canadian singer-songwriter, neo mellow, lilith, singer-songwriter, canadian pop, pop rock",2002,95,269400,61,0.00192,0.513,0.82,2.83e-06,0.504,-5.428,0.0299,99.952,0.52,7,1,4
Here (In Your Arms),Zombies! Aliens! Vampires! Dinosaurs!,2006-08-08,['Hellogoodbye'],"pop punk, neon pop punk",2007,81,240546,60,0.197,0.7,0.607,0.00173,0.272,-6.804,0.0359,126.045,0.774,5,1,4
One More Try - Remastered,Faith,1987-10-30,['George Michael'],new wave pop,1988,11,350666,59,0.434,0.551,0.291,3.78e-05,0.11,-12.544,0.0283,119.005,0.0823,5,1,3
Back To December,Speak Now,2010-10-25,['Taylor Swift'],pop,2011,74,293026,73,0.117,0.529,0.67,0.0,0.334,-4.663,0.0303,141.893,0.286,2,1,4
Fast Car,Tracy Chapman,1988-04-05,['Tracy Chapman'],"lilith, ""womens music"", singer-songwriter, folk",1988,76,296800,81,0.313,0.711,0.292,0.0,0.131,-15.523,0.037,103.951,0.194,4,0,4
Throwing It All Away - 2007 Remaster,Invisible Touch,1986-06-09,['Genesis'],"art rock, hard rock, rock, progressive rock, album rock, soft rock, mellow gold, symphonic rock, classic rock",1986,84,229560,58,0.144,0.377,0.606,0.00877,0.0879,-7.409,0.0262,83.972,0.291,6,1,4
Hurt,The Best Of Timi Yuro,1992-01-01,['Timi Yuro'],northern soul,1961,48,148466,43,0.707,0.493,0.244,0.000462,0.121,-11.487,0.0277,87.044,0.222,5,1,3
Does Your Chewing Gum Lose Its Flavour (On The Bedpost Overnight),Puttin' On The Style,,['Lonnie Donegan'],"music hall, skiffle",1961,79,151693,28,0.619,0.698,0.806,0.0,0.9,-8.681,0.104,113.811,0.934,7,1,4
Cherish,And Then...Along Comes,,['The Association'],"folk rock, singer-songwriter, soft rock, classic garage rock, country rock, mellow gold, bubblegum pop, sunshine pop",1966,7,207133,50,0.776,0.51,0.544,0.0,0.144,-8.308,0.0282,110.197,0.598,5,1,4
Think I'm In Love,No Control,,['Eddie Money'],"glam metal, country rock, hard rock, album rock, soft rock, mellow gold, southern rock, classic rock",1982,58,188533,59,0.0104,0.486,0.83,0.000475,0.0635,-10.815,0.037,151.869,0.652,3,1,4
I Don't Wanna,Ultimate Aaliyah,2005-05-10,['Aaliyah'],"hip pop, dance pop, urban contemporary, contemporary r&b, r&b",2000,96,256560,61,0.517,0.707,0.514,0.0,0.286,-7.286,0.0355,130.02,0.687,9,0,4
Strangers In The Night,Strangers In The Night (Expanded Edition),,['Frank Sinatra'],"easy listening, lounge, adult standards",1966,8,157866,72,0.592,0.259,0.473,0.0,0.201,-8.275,0.0295,90.348,0.539,5,1,4
hot girl bummer,everything means nothing,2020-08-21,['blackbear'],"pop, alt z",2020,26,188343,79,0.125,0.782,0.559,0.0,0.385,-7.106,0.0767,129.992,0.685,6,0,1
Love You Like A Love Song,When The Sun Goes Down,2011-01-01,['Selena Gomez & The Scene'],pop,2012,83,188453,83,0.0761,0.858,0.678,0.0,0.0741,-3.87,0.0469,117.009,0.922,1,0,4
Meet Me Halfway,Pov- you give me butterflies,2023-01-31,['The Black Eyed Peas'],,2010,58,284386,26,0.00442,0.799,0.629,3.91e-05,0.301,-6.844,0.0949,130.008,0.392,11,0,4
We Don't Talk Anymore - 2001 Remaster,Rock 'n' Roll Juvenile,,['Cliff Richard'],"rock-and-roll, adult standards",1980,45,257160,56,0.0014,0.746,0.703,0.00414,0.066,-7.853,0.0291,111.569,0.733,0,1,4
Another Night,Another Night,1995-03-28,['Real McCoy'],"german techno, hip house, diva house, eurodance",1994,63,236933,65,0.0908,0.813,0.882,0.00457,0.147,-7.575,0.0402,125.983,0.874,7,1,4
Dark Lady,Half Breed,1973-01-01,['Cher'],"pop, dance pop",1974,33,209200,44,0.49,0.527,0.405,0.0,0.0936,-14.534,0.0385,146.721,0.439,8,1,4
The Rock And Roll Waltz,The Fabulous Favorites,1964-06-01,['Kay Starr'],torch song,1956,10,169933,27,0.855,0.471,0.393,0.0,0.34,-10.732,0.0374,112.179,0.748,5,1,4
"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",Hands All Over,,"['Maroon 5', 'Christina Aguilera']","pop, dance pop",2012,36,201160,74,0.0111,0.722,0.758,0.0,0.308,-4.477,0.0471,128.047,0.62,11,0,4
Break It To Me Gently,"...""Let Me Sing""",1963-09-12,['Brenda Lee'],"easy listening, lounge, rockabilly, adult standards",1962,26,164000,59,0.588,0.539,0.26,0.0,0.134,-10.414,0.0268,92.032,0.492,0,0,3
Party Girl,Party Girl,2020-04-21,['StaySolidRocky'],melodic rap,2020,64,147800,72,0.749,0.728,0.431,0.0,0.0996,-9.966,0.0622,130.022,0.629,6,0,4
Washington Square,The Original Washington Square,1963-11-26,['The Village Stompers'],,1963,75,162333,29,0.565,0.801,0.301,0.14,0.214,-12.197,0.0464,119.916,0.769,4,0,4
Little Bitty Girl,Wild One / Little Bitty Girl,2021-06-18,['Bobby Rydell'],"doo-wop, rock-and-roll, adult standards, rockabilly, bubblegum pop",1960,96,146653,25,0.553,0.604,0.546,0.0,0.0919,-8.777,0.0382,121.081,0.845,1,1,4
Bad Moon Rising,Green River (Expanded Edition),1969-08-03,['Creedence Clearwater Revival'],"country rock, rock, swamp rock, southern rock, classic rock",1969,24,141600,82,0.0586,0.508,0.774,4.87e-06,0.063,-5.973,0.0321,178.946,0.942,2,1,4
lately - Demo,lately (Demo),2022-12-07,['Divine Simisi'],,1999,31,212509,0,0.945,0.727,0.137,0.0,0.381,-14.116,0.177,85.299,0.205,0,1,3
Just Fine,Growing Pains,2007-01-01,['Mary J. Blige'],"dance pop, neo soul, urban contemporary, r&b",2008,82,242133,63,0.0394,0.923,0.795,0.000565,0.101,-3.61,0.117,123.021,0.588,11,0,4
Ole Buttermilk Sky,The Best Of Kay Kyser and His Orchestra,2000-05-09,['Kay Kyser & His Orchestra'],"""mans orchestra""",1947,35,177506,20,0.975,0.572,0.184,7.29e-05,0.159,-14.434,0.0438,168.596,0.829,0,1,4
Sweet Little Sixteen,One Dozen Berry's,1958-03-01,['Chuck Berry'],"rockabilly, classic rock, blues, rock-and-roll, rock, soul, blues rock",1958,29,180746,55,0.575,0.507,0.627,0.0,0.198,-7.838,0.0354,175.309,0.962,1,1,4
"It's Not Unusual/For The Love Of Him - Medley/Live On The Ed Sullivan Show, December 6, 1970","It's Not Unusual/For The Love Of Him (Medley/Live On The Ed Sullivan Show, December 6, 1970)",2021-11-12,['Bobbi Martin'],,1970,77,87987,1,0.401,0.477,0.495,0.0,0.829,-11.936,0.0484,104.93,0.871,5,1,4
No More Tears,No More Tears (Expanded Edition),1991-09-17,['Ozzy Osbourne'],"glam metal, hard rock, rock, nu metal, alternative metal, metal, birmingham metal, album rock, classic rock",1980,38,443240,72,0.00167,0.346,0.749,8.86e-05,0.648,-6.506,0.035,102.591,0.315,6,1,4
Venus,At Home,,['Shocking Blue'],nederpop,1970,33,187533,65,0.462,0.691,0.762,0.0286,0.0804,-6.47,0.0367,128.111,0.957,11,0,4
That's The Way Love Is,M.P.G.,1969-04-30,['Marvin Gaye'],"soul, motown, classic soul, quiet storm, northern soul, neo soul",1969,72,222173,34,0.17,0.738,0.465,5.29e-06,0.0747,-10.72,0.0323,110.643,0.901,10,0,4
Al di là,Espérame en Roma,2016-04-29,['Emilio Pericoli'],swing italiano,1962,48,197137,40,0.682,0.32,0.301,0.0,0.123,-12.301,0.0293,84.918,0.217,11,1,4
Master Blaster (Jammin'),BEST ROAD TRIP 80's Pop Hits,2023-05-18,['Stevie Wonder'],"motown, soul",1981,69,307933,1,0.0398,0.877,0.422,0.000395,0.182,-14.933,0.0546,131.105,0.97,10,0,4
Passionfruit,More Life,2017-03-18,['Drake'],"toronto rap, canadian hip hop, canadian pop, rap, hip hop",2017,65,298940,85,0.256,0.809,0.463,0.085,0.109,-11.377,0.0396,111.98,0.364,11,1,4
Goodnight Irene,The Best Of The Decca Years,1996-01-01,"['Gordon Jenkins & His Orchestra', 'The Weavers']","folk, american folk revival",1950,1,202240,18,0.843,0.335,0.255,0.0,0.26,-10.561,0.0277,141.158,0.556,5,1,3
Love Me Tender,Elvis 30 #1 Hits,2002-09-24,['Elvis Presley'],"rock-and-roll, rockabilly",1956,15,162066,59,0.881,0.439,0.0529,0.0,0.106,-16.253,0.039,109.382,0.314,9,1,3
Nights In White Satin - Single Version / Mono,Days Of Future Passed (Deluxe Version),1967-11-10,['The Moody Blues'],"heartland rock, art rock, symphonic rock, country rock, hard rock, rock, folk rock, british invasion, progressive rock, album rock, soft rock, mellow gold, flute rock, singer-songwriter, classic rock",1972,32,269106,67,0.465,0.195,0.483,0.497,0.0686,-4.991,0.03,84.71,0.173,4,0,4
Are You Jimmy Ray?,Jimmy Ray,1998-03-10,['Jimmy Ray'],,1998,65,201200,38,0.13,0.75,0.914,2.33e-05,0.392,-5.707,0.0704,99.083,0.673,10,0,4
Ain't Gonna Bump No More (With No Big Fat Woman) (Karaoke in the style of Joe Tex),1977 Karaoke Classics Volume 1,2009-09-21,['1970s Karaoke Band'],karaoke,1977,86,207960,0,0.00311,0.77,0.496,0.361,0.327,-15.056,0.0539,113.099,0.88,2,1,4
Too Little Too Late,The High Road,2006-10-17,['JoJo'],"post-teen pop, dance pop, pop",2006,72,221720,73,0.00871,0.421,0.799,1.63e-05,0.0794,-5.183,0.0562,82.408,0.731,6,0,4
Dust in the Wind,Point Of Know Return (Expanded Edition),,['Kansas'],"heartland rock, hard rock, rock, progressive rock, album rock, soft rock, mellow gold, classic rock",1978,39,206266,79,0.367,0.475,0.322,0.00056,0.11,-10.687,0.0283,93.503,0.387,7,1,4
I Don't Need You,Share Your Love,1981-06-15,['Kenny Rogers'],"country, classic country pop, nashville sound",1981,44,208866,48,0.116,0.501,0.3,1.54e-05,0.219,-14.475,0.0328,135.195,0.309,1,1,4
Turn It Up / Fire It Up - Remix,The Best of Busta Rhymes,,['Busta Rhymes'],"east coast hip hop, hardcore hip hop, rap, hip hop, pop rap",1998,73,237906,52,0.00511,0.817,0.84,0.000345,0.288,-8.598,0.0923,104.295,0.89,2,1,4
Woo Hah!! Got You All in Check,The Coming,,['Busta Rhymes'],"east coast hip hop, hardcore hip hop, rap, hip hop, pop rap",1996,57,271973,55,0.127,0.842,0.831,0.0,0.0881,-7.072,0.242,92.053,0.814,1,1,4
Foolish Little Girl,Will You Still Love Me Tomorrow,,['The Shirelles'],"doo-wop, rock-and-roll, classic girl group, motown, soul",1963,47,135240,40,0.749,0.802,0.527,6.6e-06,0.265,-12.24,0.0414,109.755,0.926,7,0,4
Uptown Funk (feat. Bruno Mars),Uptown Special,2015-01-12,"['Mark Ronson', 'Bruno Mars']","pop, dance pop, pop soul",2015,1,269666,84,0.00801,0.856,0.609,8.15e-05,0.0344,-7.223,0.0824,114.988,0.928,0,1,4
"I Don't Want To Miss A Thing - From ""Armageddon"" Soundtrack",I Don't Want To Miss A Thing EP,1998-08-18,['Aerosmith'],"classic rock, album rock, hard rock, rock",1998,23,299723,78,0.172,0.39,0.649,0.0,0.216,-5.163,0.0345,121.161,0.144,2,1,4
"Baby, I Love Your Way - Live",Frampton Comes Alive! (Deluxe Edition),,['Peter Frampton'],"british blues, heartland rock, country rock, hard rock, rock, folk rock, album rock, soft rock, mellow gold, singer-songwriter, classic rock",1976,89,281066,62,0.448,0.518,0.786,2.5e-05,0.7,-5.739,0.0357,72.269,0.463,7,1,4
DNA.,DAMN.,2017-04-14,['Kendrick Lamar'],"conscious hip hop, rap, west coast rap, hip hop",2017,62,185946,82,0.00454,0.638,0.523,0.0,0.0842,-6.664,0.357,139.913,0.422,1,1,4
Back Here,Sooner Or Later,2000-01-01,['BBMAK'],boy band,2000,33,218200,52,0.0698,0.624,0.945,4.57e-06,0.0867,-3.109,0.0343,104.77,0.914,7,1,4
Justified & Ancient,Solid State Logik 1,2021-01-01,['The KLF'],"big beat, acid house, hip house, ambient house",1992,86,228372,52,0.00276,0.628,0.953,0.0132,0.427,-4.989,0.0626,111.134,0.515,10,0,4
I Hate Myself for Loving You,Up Your Alley,1988-05-23,['Joan Jett & the Blackhearts'],"glam punk, rock",1988,85,246800,69,0.0847,0.611,0.882,1.08e-06,0.192,-11.225,0.0538,117.932,0.605,9,1,4
I Miss You,The Truth,1993-01-01,['Aaron Hall'],"contemporary r&b, new jack swing, r&b",1994,57,381733,47,0.0298,0.713,0.754,0.0,0.136,-5.277,0.0271,120.079,0.564,6,1,4
Tennessee,"3 Years, 5 Months And 2 Days In The Life Of...",1992-03-24,['Arrested Development'],"atl hip hop, hip hop, old school atlanta hip hop, conscious hip hop",1992,40,272706,54,0.0241,0.822,0.661,3.95e-06,0.315,-10.234,0.164,99.883,0.67,1,0,4
Step by Step,Step By Step,1990-06-04,['New Kids On The Block'],boy band,1990,33,267293,62,0.0274,0.787,0.63,6.69e-06,0.161,-12.295,0.0609,125.347,0.882,0,1,4
Comin' In and out of Your Life,Memories,,['Barbra Streisand'],"operatic pop, adult standards",1982,74,248666,35,0.804,0.338,0.295,1.67e-05,0.073,-14.062,0.0388,140.057,0.187,1,1,4
It's So Hard To Say Goodbye To Yesterday,Cooleyhighharmony - Expanded Edition,2009-01-01,['Boyz II Men'],"new jack swing, urban contemporary, boy band, contemporary r&b, r&b",1992,37,168626,51,0.915,0.3,0.225,0.0,0.159,-11.079,0.0264,87.698,0.294,4,1,4
To Be With You - 2021 Remastered,Lean Into It (30th Anniversary Edition),,['Mr. Big'],"glam metal, hard rock",1992,12,208080,71,0.359,0.688,0.284,0.0,0.127,-13.577,0.0574,83.433,0.482,4,1,4
I Wish,TP-2.com,2000-11-07,['R. Kelly'],,2001,87,334000,49,0.068,0.42,0.463,0.0,0.119,-9.056,0.12,78.83,0.659,6,1,4
Diary (feat. Tony! Toni! Tone! & Jermaine Paul),The Diary Of Alicia Keys,2003-12-02,"['Alicia Keys', 'Tony! Toni! Toné!', 'Jermaine Paul']","deep talent show, new jack swing, urban contemporary, pop, contemporary r&b, neo soul, r&b",2004,34,284160,61,0.555,0.663,0.465,0.00183,0.125,-9.711,0.0317,127.932,0.279,8,0,4
If I Knew You Were Comin' I'd've Baked a Cake,Presenting Eileen Barton,1952-12-03,"['Eileen Barton', 'The New Yorkers']",deep adult standards,1950,11,159840,28,0.859,0.736,0.298,2.05e-06,0.057,-8.354,0.319,170.131,0.941,8,1,4
Lady Willpower,Super Hits,,['Gary Puckett & The Union Gap'],"folk rock, rock-and-roll, soft rock, adult standards, country rock, mellow gold, bubblegum pop, merseybeat, rockabilly",1968,34,165173,49,0.439,0.53,0.517,0.0,0.138,-8.258,0.0293,122.779,0.647,0,0,4
I Made It (Cash Money Heroes),To The Sky,2010-01-01,"['Kevin Rudolf', 'Birdman', 'Jay Sean', 'Lil Wayne']","pop, dirty south rap, dance pop, southern hip hop, new orleans rap, trap, rap, hip hop, pop rap, wrestling",2010,80,249546,55,0.043,0.592,0.944,0.0,0.365,-2.94,0.111,124.42,0.574,7,1,5
Do You Believe in Magic?,Do you Believe In Magic,,"[""The Lovin' Spoonful""]","folk rock, rock-and-roll, soft rock, folk, psychedelic rock, country rock, classic rock, mellow gold",1965,89,125826,71,0.213,0.553,0.738,0.0,0.339,-7.963,0.0457,138.602,0.759,0,1,4
Sexy Eyes - Single Version,Completely Hooked,1992-01-01,['Dr. Hook'],"country rock, soft rock, mellow gold",1980,25,180000,58,0.48,0.743,0.642,8.34e-06,0.212,-11.897,0.052,103.858,0.906,9,0,4
All By Myself,Eric Carmen,1975-01-01,['Eric Carmen'],"new wave pop, soft rock, yacht rock, mellow gold",1976,40,430000,65,0.827,0.376,0.373,0.832,0.15,-9.184,0.0305,116.074,0.111,7,0,4
How to Save a Life,How To Save A Life,2005-09-13,['The Fray'],"neo mellow, pop rock, piano rock, pop",2006,27,262533,81,0.269,0.64,0.743,0.0,0.101,-4.08,0.0379,122.035,0.361,10,1,4
3,The Singles Collection,2009-11-09,['Britney Spears'],"pop, dance pop",2009,87,213173,63,0.0452,0.697,0.709,0.0,0.138,-1.917,0.0455,134.91,0.787,5,0,4
Heaven Help Me,Spell,2010-02-25,['Deon Estus'],sophisti-pop,1989,94,280999,41,0.496,0.596,0.443,0.000443,0.104,-16.695,0.0337,92.255,0.743,7,1,4
Sober,This Has To Work part 1,2023-05-14,['Pink Tummies'],,2009,38,218742,0,0.00136,0.453,0.798,0.0136,0.25,-10.522,0.0653,175.119,0.536,0,1,4
Bad Things (Originally Performed by Machine Gun Kelly & Camila Cabello) - Karaoke Version,"Karaoke Chart Hits 2017, Vol. 1",2017-05-24,['Covered Up'],,2017,41,240274,0,0.234,0.771,0.522,0.795,0.138,-10.004,0.0346,138.012,0.175,2,1,4
Vision of Love,Mariah Carey,1990-06-12,['Mariah Carey'],"urban contemporary, dance pop, pop",1990,6,209293,60,0.433,0.256,0.464,0.0,0.121,-10.959,0.0382,205.362,0.355,5,1,3
Somebody,Somebody,2014-01-06,"['Natalie La Rose', 'Jeremih']","chicago rap, southern hip hop, trap, pop rap, urban contemporary, viral trap, r&b",2015,41,189906,67,0.000792,0.83,0.52,1.25e-05,0.0656,-8.714,0.0376,104.99,0.735,0,1,4
Next To Me,Our Version Of Events,2012-01-01,['Emeli Sandé'],"talent show, r&b",2013,88,196866,57,0.0923,0.674,0.81,4.74e-05,0.11,-5.117,0.0378,94.995,0.391,7,0,4
Missing - 2013 Remaster,Amplified Heart (Deluxe Edition),1994-06-13,['Everything But The Girl'],"new wave pop, sophisti-pop, trip hop",1996,12,247200,60,0.077,0.677,0.484,4.71e-05,0.134,-10.506,0.0325,123.534,0.696,9,0,4
Fuck You,The Lady Killer,2010-11-09,['CeeLo Green'],atl hip hop,2011,7,222933,69,0.129,0.69,0.834,0.0,0.136,-5.79,0.0566,127.43,0.738,0,1,4
Daydream Believer,"The Birds, The Bees, & The Monkees",1968-04-22,['The Monkees'],"folk rock, heartland rock, singer-songwriter, rock-and-roll, soft rock, sunshine pop, beatlesque, classic rock, bubblegum pop, album rock, mellow gold",1967,94,179613,72,0.256,0.51,0.488,0.0,0.11,-10.304,0.0304,125.683,0.649,7,1,4
Every Time I Close My Eyes (with Kenny G),The Day,1996-10-29,"['Babyface', 'Kenny G']","new jack swing, urban contemporary, smooth saxophone, contemporary r&b, smooth jazz, r&b",1997,26,296266,63,0.0624,0.654,0.417,0.0,0.0963,-7.699,0.025,143.676,0.279,5,1,4
Baby I Need Your Loving,Four Tops,1965-01-01,['Four Tops'],"disco, classic soul, quiet storm, motown, soul",1964,57,166026,66,0.437,0.632,0.686,0.0,0.193,-6.116,0.0395,121.414,0.65,0,0,4
Margaritaville,"Changes In Latitudes, Changes In Attitudes",1977-01-01,['Jimmy Buffett'],,1977,14,250933,69,0.711,0.8,0.545,0.00191,0.104,-13.637,0.0357,124.943,0.861,2,1,4
Here Comes My Baby,Even The Bad Times Are Good,1967-01-01,['The Tremeloes'],"beatlesque, british invasion",1967,89,184106,49,0.0154,0.514,0.882,0.0,0.389,-5.306,0.0491,92.147,0.942,7,1,4
"Bend Me, Shape Me - Single Version",60's Gold,2006-06-27,['The American Breed'],,1968,98,130866,38,0.0275,0.566,0.678,0.0,0.205,-9.674,0.0603,128.952,0.45,10,1,4
Enjoy the Silence,"Violator | The 12"" Singles",2020-07-17,"['Depeche Mode', 'Daniel Miller', 'Phil Legg']","new wave, permanent wave, dance rock, rock, new romantic",1990,66,257630,69,0.209,0.626,0.667,0.000257,0.0779,-11.817,0.0283,112.776,0.83,0,0,4
Irreplaceable,B'Day Deluxe Edition,2007-05-29,['Beyoncé'],"pop, r&b",2007,1,227853,72,0.0293,0.447,0.694,5.46e-06,0.167,-4.637,0.382,175.868,0.509,7,0,4
My Best Friend,A Place In The Sun,1999-05-04,['Tim McGraw'],"contemporary country, country road, country",2000,83,279866,58,0.12,0.444,0.484,0.0,0.135,-8.311,0.0289,147.715,0.263,9,1,4
Make It Happen,Emotions,1991-09-17,['Mariah Carey'],"urban contemporary, dance pop, pop",1992,42,307000,47,0.00657,0.811,0.531,0.0285,0.0801,-8.537,0.0355,107.853,0.752,2,0,4
Baby Come to Me (In the Style of Patti Austin and James Ingram) [Karaoke Version],"Karaoke Hits from 1983, Vol. 2",2013-05-16,['Ameritz Countdown Karaoke'],karaoke,1983,8,211271,0,0.597,0.567,0.37,0.251,0.256,-15.497,0.0266,92.035,0.325,5,0,4
Everybody Talks,Picture Show,2012-01-01,['Neon Trees'],"modern rock, pov: indie, neo mellow, pop rock",2012,22,177280,81,0.00301,0.471,0.924,0.0,0.313,-3.906,0.0586,154.961,0.725,8,1,4
Born to Be With You,The Chordettes' Best,2010-04-20,['The Chordettes'],"doo-wop, classic girl group, vocal harmony group",1956,37,168186,19,0.828,0.506,0.265,0.000233,0.151,-11.556,0.0407,81.876,0.278,1,1,4
"Bump, Bump, Bump (feat. P. Diddy)",Pandemonium!,2002-12-10,"['B2K', 'Diddy']","hip pop, dance pop, urban contemporary, east coast hip hop, rap, boy band, contemporary r&b, hip hop, pop rap, r&b",2003,22,278573,55,0.0998,0.834,0.685,0.0,0.0514,-5.862,0.225,95.507,0.877,1,0,4
Suga Suga,Tha Smokin' Nephew,2003-01-01,"['Baby Bash', 'Frankie J']","southern hip hop, hip pop, latin hip hop, texas latin rap, urban contemporary, chicano rap, pop rap",2003,77,239026,75,0.688,0.662,0.748,8.43e-06,0.0841,-3.041,0.268,82.331,0.535,5,0,4
Love Lockdown,808s & Heartbreak,2008-11-24,['Kanye West'],"chicago rap, rap, hip hop",2009,44,270306,67,0.0542,0.76,0.524,0.5,0.112,-7.67,0.0323,119.603,0.112,1,0,4
(We're Gonna) Rock Around The Clock,Rock Around The Clock,1955-12-19,['Bill Haley & His Comets'],"rock-and-roll, rockabilly",1955,2,129893,66,0.205,0.811,0.859,3.73e-06,0.0761,-6.317,0.168,90.686,0.784,9,1,4
Sunny Came Home,A Few Small Repairs,1996-09-30,['Shawn Colvin'],"lilith, austin singer-songwriter, singer-songwriter, folk, new wave pop, ectofolk",1997,39,264200,55,0.342,0.558,0.579,0.00831,0.0989,-8.05,0.0324,167.812,0.403,11,0,4
No More Drama,No More Drama,2001-08-28,['Mary J. Blige'],"dance pop, neo soul, urban contemporary, r&b",2002,79,326240,58,0.534,0.653,0.837,7.12e-05,0.0784,-6.818,0.124,97.914,0.64,6,0,4
Good Vibrations,Music For The People,,"['Marky Mark And The Funky Bunch', 'Loleatta Holloway']","disco, philly soul, diva house, hip house, post-disco",1991,20,269306,65,0.00189,0.711,0.951,0.366,0.0229,-8.406,0.0537,121.656,0.903,1,1,4
Replay,Replay,2009-08-11,['Iyaz'],"pop rap, dance pop, post-teen pop",2010,25,182306,74,0.173,0.706,0.751,0.0,0.168,-6.323,0.0708,91.031,0.195,9,1,4
I Found Someone,Cher,1987-01-01,['Cher'],"pop, dance pop",1988,94,223160,56,0.557,0.538,0.604,0.0,0.162,-10.936,0.0262,102.839,0.373,2,0,4
Wildest Dreams (Taylor's Version),Wildest Dreams (Taylor's Version),2021-09-17,['Taylor Swift'],pop,2015,57,220433,85,0.0374,0.583,0.67,0.0001,0.126,-7.289,0.0646,140.061,0.498,8,1,4
Sexy And I Know It,Sorry For Party Rocking (Deluxe Version),2011-01-01,['LMFAO'],"pop, dance pop, pop rap",2012,13,199480,66,0.1,0.707,0.861,0.0,0.191,-4.225,0.316,130.021,0.795,7,1,4
How You Gonna See Me Now,From the Inside,,['Alice Cooper'],"protopunk, glam metal, detroit rock, glam rock, hard rock, rock, metal, album rock, classic rock",1979,87,235973,49,0.458,0.544,0.336,3.48e-06,0.133,-14.413,0.038,136.516,0.298,5,1,4
No Matter What Shape (Your Stomach's In),Lost Hits Of The 60's (All Original Artists & Versions),2010-01-01,['The T-Bones'],,1966,59,136853,34,0.257,0.786,0.803,0.793,0.044,-12.7,0.0313,125.841,0.964,0,1,4
Go Away Little Girl,Going Solo with Steve Lawrence,1965-07-22,"['Steve Lawrence', 'Eydie Gormé']","easy listening, adult standards",1963,80,131265,43,0.381,0.345,0.346,0.0,0.471,-10.837,0.0309,109.368,0.521,0,1,4
Karaoke - Landslide,Karaoke - Contemporary Female Country - Vol.4,2005-03-01,['Karaoke - Dixie Chicks'],,2003,35,227004,13,0.298,0.604,0.522,0.0533,0.092,-9.612,0.0271,146.007,0.337,4,0,4
Partition,BEYONCÉ [Platinum Edition],2014-11-24,['Beyoncé'],"pop, r&b",2014,95,319466,72,0.029,0.418,0.441,0.0707,0.306,-11.522,0.283,175.928,0.172,11,0,4
Addict,Addict Remixed,2020-04-24,"['Silva Hound', 'Michael Kovach', 'Chi-Chi']",otacore,2002,40,245624,59,0.0859,0.652,0.786,2.26e-06,0.0616,-3.761,0.0394,127.939,0.645,5,0,4
Bootylicious,Survivor,2001-05-01,"[""Destiny's Child""]","dance pop, urban contemporary, girl group, pop, r&b",2001,42,207906,67,0.00281,0.84,0.835,1.11e-06,0.152,-4.386,0.275,103.376,0.637,1,0,4
Just A Girl,Tragic Kingdom,1995-10-10,['No Doubt'],"dance pop, permanent wave, dance rock, rock, pop rock",1996,68,209200,74,0.0662,0.638,0.906,6.88e-05,0.142,-4.824,0.0504,107.991,0.767,2,1,4
One Less Bell To Answer,Portrait,,['The 5th Dimension'],"motown, sunshine pop, folk rock, soft rock, mellow gold, singer-songwriter, bubblegum pop, adult standards",1971,98,210760,48,0.737,0.398,0.405,4.97e-05,0.131,-6.664,0.0258,99.694,0.443,11,0,3
Save Your Heart For Me,A Session With Gary Lewis And The Playboys,1965-08-01,['Gary Lewis & The Playboys'],"british invasion, bubblegum pop",1965,59,119186,38,0.629,0.622,0.223,0.0,0.0718,-12.4,0.0277,106.873,0.617,2,1,4
