Song,Album,Album Release Date,Artist Names,Artist(s) Genres,Hot100 Ranking Year,Hot100 Rank,Song Length(ms),Popularity,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Loudness,Speechiness,Tempo,Valence,Key,Mode,Time Signature
Good Old-Fashioned Lover Boy - Remastered 2011,A Day At The Races (Deluxe Remastered Version),1976-12-10,['Queen'],"classic rock, glam rock, rock",2001,80,173173,67,0.566,0.545,0.454,0.0,0.0541,-6.706,0.0302,96.784,0.393,3,1,4
Don't Let Go (Love),EV3,1997-06-17,['En Vogue'],"hip pop, r&b, new jack swing, girl group, urban contemporary, contemporary r&b",1980,63,291880,65,0.409,0.618,0.688,6.32e-06,0.3,-5.867,0.0477,78.311,0.561,5,0,4
If You Love Me (Really Love Me),The Definitive Kay Starr On Capitol,2002-07-09,['Kay Starr'],torch song,1954,21,169600,33,0.731,0.33,0.493,1.94e-05,0.172,-6.398,0.0297,108.33,0.449,2,1,3
Rags to Riches,"The Columbia Singles, Vol. 2",2011-11-23,['Tony Bennett'],"adult standards, lounge, easy listening, vocal jazz",1954,27,168480,55,0.907,0.409,0.435,7.17e-06,0.0559,-9.399,0.0453,78.136,0.567,2,1,4
Breaking Up Is Hard to Do,Circulate (Expanded Edition),1960-12-30,['Neil Sedaka'],"easy listening, rockabilly, soft rock, adult standards, brill building pop, bubblegum pop",1976,91,139200,60,0.699,0.743,0.799,0.0,0.0635,-5.466,0.0375,116.112,0.965,8,0,4
I Miss You,Meeting In The Ladies Room,1984-01-01,['Klymaxx'],"new jack swing, urban contemporary, contemporary r&b, quiet storm, minneapolis sound",1986,3,333266,47,0.499,0.553,0.345,0.0,0.252,-18.267,0.0342,139.562,0.305,5,1,4
Drive - 2017 Remaster,Heartbeat City (Expanded Edition),,['The Cars'],"new wave pop, synthpop, power pop, hard rock, rock, new wave, album rock, soft rock, mellow gold, singer-songwriter, permanent wave, new romantic, classic rock",1984,41,234332,72,0.115,0.261,0.703,0.00078,0.102,-7.871,0.0414,83.495,0.405,6,1,4
Better Love Next Time,Sometimes You Win,1979-10-05,['Dr. Hook'],"country rock, soft rock, mellow gold",1980,49,182346,53,0.505,0.768,0.675,4.31e-06,0.0513,-10.048,0.0526,102.73,0.918,9,1,4
Pimpin' All Over The World,The Red Light District,2004-01-01,"['Ludacris', 'Bobby V.']","southern hip hop, dance pop, hip pop, urban contemporary, rap, dirty south rap, trap, old school atlanta hip hop, atl hip hop, contemporary r&b, hip hop, pop rap, r&b",2005,53,329626,56,0.287,0.495,0.883,0.0,0.138,-4.087,0.299,92.136,0.782,11,1,4
Happy,Ashanti,2002-01-01,['Ashanti'],"hip pop, dance pop, urban contemporary, r&b",2002,41,262226,65,0.241,0.727,0.515,3.74e-06,0.124,-6.553,0.0289,89.488,0.695,2,0,4
So Sad (To Watch Good Love Go Bad) - 2007 Remaster,It's Everly Time,,['The Everly Brothers'],"folk rock, rock-and-roll, adult standards, rockabilly, mellow gold, sunshine pop",1960,70,154400,35,0.646,0.545,0.197,0.0,0.291,-16.743,0.0285,102.229,0.338,4,1,4
Proud Mary,Workin' Together,1970-04-19,['Ike & Tina Turner'],"rock-and-roll, soul, classic soul, southern soul, disco",1971,55,297613,61,0.686,0.599,0.46,3.65e-05,0.15,-10.729,0.152,96.429,0.715,2,1,4
I'm the Only One (Originally Performed by Melissa Etheridge) [Karaoke Version],Karaoke: Rock Hits 1994,2013-03-15,['BFM Hits'],,1994,92,292376,0,0.00116,0.349,0.389,0.898,0.097,-9.92,0.0505,85.156,0.607,0,1,4
Beautiful Crazy,This One's for You Too (Deluxe Edition),2018-06-01,['Luke Combs'],"contemporary country, country",2019,46,193200,82,0.676,0.551,0.402,0.0,0.0928,-7.431,0.0262,103.313,0.382,11,1,4
Walkin' My Baby Back Home,16 Most Requested Songs,1991-09-03,['Johnnie Ray'],"rock-and-roll, adult standards, deep adult standards",1952,24,140306,41,0.949,0.718,0.0558,0.0,0.0916,-19.227,0.109,128.949,0.598,2,1,5
More Money for You and Me - Medley,The Best of the Four Preps,2007-11-27,['The Four Preps'],"vocal harmony group, doo-wop",1961,98,388466,8,0.796,0.544,0.163,0.0,0.973,-20.184,0.27,116.515,0.447,2,1,4
Let It Out (Let It All Hang Out),60's Gold,2006-06-27,['The Hombres'],,1967,69,123693,42,0.396,0.736,0.489,2.3e-06,0.0492,-9.717,0.0576,121.364,0.862,9,1,4
Baby Love,Where Did Our Love Go,1964-08-31,['The Supremes'],"disco, classic girl group, soul, motown",1964,33,158040,70,0.76,0.595,0.643,0.0,0.538,-9.275,0.0365,135.633,0.73,5,1,4
Don’t Leave Me This Way (Re-Recorded),'70s Divas & Beyond,2007-08-07,['Thelma Houston'],"motown, post-disco, diva house, disco",1977,7,250880,9,0.34,0.711,0.833,0.0,0.101,-7.092,0.094,120.015,0.637,0,0,4
The Martian Hop,"Rockin' in Outer Space, Vol 1",2012-07-03,['The Ran Dells'],novelty,1963,92,134066,21,0.205,0.401,0.913,0.000459,0.14,-2.755,0.17,130.326,0.662,6,1,4
The Wah Watusi,The Wah-Watusi/South Street,1962-01-01,['The Orlons'],"classic girl group, doo-wop, rhythm and blues",1962,24,150240,44,0.138,0.768,0.684,0.000898,0.0642,-6.116,0.0398,134.116,0.887,4,0,4
Don't Look Back (Originally Performed by Boston) [Karaoke Version],"The Karaoke Channel - Top Rock Hits of 1978, Vol. 8",2015-08-11,['The Karaoke Channel'],karaoke,1978,93,360728,0,0.00671,0.452,0.838,0.0716,0.327,-7.026,0.0367,121.948,0.458,2,1,4
Never Be Like You (feat. Kai),Skin,2016-05-27,"['Flume', 'kai']","australian electropop, australian indie, edm, downtempo, australian dance, indietronica",2016,60,234909,70,0.453,0.444,0.557,0.0,0.152,-5.476,0.0602,115.058,0.296,0,1,4
Oh!,Jazz Collection,2012-09-11,['Pee Wee Hunt'],jazz trombone,1953,11,161093,13,0.603,0.814,0.12,0.00108,0.0375,-12.272,0.21,124.664,0.807,10,1,4
Can't Get Used To Losing You (Karaoke in the style of Andy Williams),1963 Karaoke Classics Volume 1,2009-09-21,"[""1960's Karaoke Band""]",karaoke,1963,8,148960,0,0.656,0.627,0.212,0.711,0.0882,-15.9,0.0406,187.96,0.495,0,1,4
Pon de Replay,Music Of The Sun,2005-08-29,['Rihanna'],"urban contemporary, barbadian pop, pop",2005,18,246960,81,0.000155,0.779,0.64,0.00077,0.101,-8.415,0.159,99.019,0.498,7,1,4
Nothing's Gonna Stop Us Now,No Protection,1987-07-27,['Starship'],"heartland rock, new wave pop, synthpop, album rock, soft rock, mellow gold, new romantic, classic rock",1987,5,270333,80,0.0299,0.643,0.802,0.0,0.0719,-4.92,0.0227,95.99,0.53,6,1,4
